,Labels,XBRLID_predicted
0,american century mutual funds inc prospectus supplement select fund,rr_RiskReturnHeading
1,shareholder fees fees paid directly investment,rr_ShareholderFeesCaption
2,maximum sales charge load imposed on purchases as percentage of offering price,rr_MaximumSalesChargeImposedOnPurchasesOverOfferingPrice
3,maximum deferred sales charge load as percentage of lower of original offering price redemption proceeds redeemed one year of purchase,rr_MaximumDeferredSalesChargeOverOfferingPrice
4,annual fund operating expenses expenses pay year as percentage of value of investment,rr_OperatingExpensesCaption
5,management fee,rr_ManagementFeesOverAssets
6,expenses,rr_Component3OtherExpensesOverAssets
7,total annual fund operating expenses,rr_ExpensesOverAssets
8,total annual fund operating expenses after fee waiver,rr_NetExpensesOverAssets
9,investor class one year expense example,rr_ExpenseExampleYear01
10,investor class three years expense example,rr_ExpenseExampleYear03
11,investor class five years expense example,rr_ExpenseExampleYear05
12,investor class ten years expense example,rr_ExpenseExampleYear10
13,class one year expense example,rr_ExpenseExampleYear01
14,class three years expense example,rr_ExpenseExampleYear03
15,class five years expense example,rr_ExpenseExampleYear05
16,class ten years expense example,rr_ExpenseExampleYear10
17,y class one year expense example,rr_ExpenseExampleYear01
18,y class three years expense example,rr_ExpenseExampleYear03
19,y class five years expense example,rr_ExpenseExampleYear05
20,y class ten years expense example,rr_ExpenseExampleYear10
21,r class one year expense example,rr_ExpenseExampleYear01
22,r class three years expense example,rr_ExpenseExampleYear03
23,r class five years expense example,rr_ExpenseExampleYear05
24,r class ten years expense example,rr_ExpenseExampleYear10
25,r5 class one year expense example,rr_ExpenseExampleYear01
26,r5 class three years expense example,rr_ExpenseExampleYear03
27,r5 class five years expense example,rr_ExpenseExampleYear05
28,r5 class ten years expense example,rr_ExpenseExampleYear10
29,r6 class one year expense example,rr_ExpenseExampleYear01
30,r6 class three years expense example,rr_ExpenseExampleYear03
31,r6 class five years expense example,rr_ExpenseExampleYear05
32,r6 class ten years expense example,rr_ExpenseExampleYear10
33,american century mutual funds inc prospectus supplement ultra fund,rr_RiskReturnHeading
34,fee waiver,rr_FeeWaiverOrReimbursementOverAssets
35,g class one year expense example,rr_ExpenseExampleYear01
36,g class three years expense example,rr_ExpenseExampleYear03
37,g class five years expense example,rr_ExpenseExampleYear05
38,g class ten years expense example,rr_ExpenseExampleYear10
39,annual portfolio operating expenses expenses pay year as percentage of value of investment,rr_OperatingExpensesCaption
40,management fees,rr_ManagementFeesOverAssets
41,dividend expenses on short sales,rr_Component1OtherExpensesOverAssets
42,broker fees and expenses on short sales,rr_Component2OtherExpensesOverAssets
43,remainder of expenses,rr_Component3OtherExpensesOverAssets
44,ast academic strategies asset allocation one year expense example,rr_ExpenseExampleYear01
45,ast academic strategies asset allocation three years expense example,rr_ExpenseExampleYear03
46,ast academic strategies asset allocation five years expense example,rr_ExpenseExampleYear05
47,ast academic strategies asset allocation ten years expense example,rr_ExpenseExampleYear10
48,best quarter,rr_HighestQuarterlyReturnLabel
49,portfolio one year average annual return,rr_AverageAnnualReturnYear01
50,portfolio five years average annual return,rr_AverageAnnualReturnYear05
51,portfolio ten years average annual return,rr_AverageAnnualReturnYear10
52,blended index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
53,blended index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
54,blended index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
55,ast advanced strategies one year expense example,rr_ExpenseExampleYear01
56,ast advanced strategies three years expense example,rr_ExpenseExampleYear03
57,ast advanced strategies five years expense example,rr_ExpenseExampleYear05
58,ast advanced strategies ten years expense example,rr_ExpenseExampleYear10
59,ast allianzgi world trends one year expense example,rr_ExpenseExampleYear01
60,ast allianzgi world trends three years expense example,rr_ExpenseExampleYear03
61,ast allianzgi world trends five years expense example,rr_ExpenseExampleYear05
62,ast allianzgi world trends ten years expense example,rr_ExpenseExampleYear10
63,ast balanced asset allocation one year expense example,rr_ExpenseExampleYear01
64,ast balanced asset allocation three years expense example,rr_ExpenseExampleYear03
65,ast balanced asset allocation five years expense example,rr_ExpenseExampleYear05
66,ast balanced asset allocation ten years expense example,rr_ExpenseExampleYear10
67,ast blackrock global strategies one year expense example,rr_ExpenseExampleYear01
68,ast blackrock global strategies three years expense example,rr_ExpenseExampleYear03
69,ast blackrock global strategies five years expense example,rr_ExpenseExampleYear05
70,ast blackrock global strategies ten years expense example,rr_ExpenseExampleYear10
71,portfolio since inception average annual return,rr_AverageAnnualReturnSinceInception
72,portfolio inception date average annual return,rr_AverageAnnualReturnInceptionDate
73,blended index prior reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
74,blended index prior reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
75,blended index prior reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
76,blended index effective reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
77,blended index effective reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
78,blended index effective reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
79,ast blackrock loomis sayles bond one year expense example,rr_ExpenseExampleYear01
80,ast blackrock loomis sayles bond three years expense example,rr_ExpenseExampleYear03
81,ast blackrock loomis sayles bond five years expense example,rr_ExpenseExampleYear05
82,ast blackrock loomis sayles bond ten years expense example,rr_ExpenseExampleYear10
83,bloomberg barclays aggregate index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
84,bloomberg barclays aggregate index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
85,bloomberg barclays aggregate index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
86,ast blackrock low duration bond one year expense example,rr_ExpenseExampleYear01
87,ast blackrock low duration bond three years expense example,rr_ExpenseExampleYear03
88,ast blackrock low duration bond five years expense example,rr_ExpenseExampleYear05
89,ast blackrock low duration bond ten years expense example,rr_ExpenseExampleYear10
90,one year average annual return,rr_AverageAnnualReturnYear01
91,five years average annual return,rr_AverageAnnualReturnYear05
92,ten years average annual return,rr_AverageAnnualReturnYear10
93,ast bond portfolio one year expense example,rr_ExpenseExampleYear01
94,ast bond portfolio three years expense example,rr_ExpenseExampleYear03
